date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:04	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2008%20Apr%202023%2013:22:04%20GMT	https://www.okalpha.co/robots.txt		(from )
22:22:06	59577/59577	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2013:22:04%20GMT	https://www.okalpha.co/	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/index.html	(from )
22:22:08	159228/159228	---M-Z	200	added ('OK')	text/css	etag:%224f1156d01b40902919c5ea238903e492%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/css/okalpha-website.webflow.d1ce49238.css	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/css/okalpha-website.webflow.d1ce49238.css	(from https://www.okalpha.co/)
22:22:10	1864/1864	---M--	200	added ('OK')	image/png	etag:%22ac41c14cb13cbcb894b44214350bcc60%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5bd5f0255a6dba7040e273d8_favicon.png	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5bd5f0255a6dba7040e273d8_favicon.png	(from https://www.okalpha.co/)
22:22:10	46498/46498	---M--	200	added ('OK')	image/jpeg	etag:%22bce37e0dc7649f720cdbedfbd24a43ab%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c401c57cb1008540d9b537a_Logo_256.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c401c57cb1008540d9b537a_Logo_256.jpg	(from https://www.okalpha.co/)
22:22:11	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.google-analytics.com/analytics.js	(from https://www.okalpha.co/)
22:22:14	39062/39062	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2013:22:12%20GMT	https://www.okalpha.co/work	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/work.html	(from https://www.okalpha.co/)
22:22:15	31536/31536	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2013:22:15%20GMT	https://www.okalpha.co/shop	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/shop.html	(from https://www.okalpha.co/)
22:22:16	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2008%20Apr%202023%2013:22:16%20GMT	https://www.okalpha.co/contact	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/contact	(from https://www.okalpha.co/)
22:22:17	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2008%20Apr%202023%2013:22:17%20GMT	https://www.okalpha.co/work/stamp	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/work/stamp	(from https://www.okalpha.co/)
22:22:18	310473/310473	---M--	200	added ('OK')	image/jpeg	etag:%2245d3d965a98447c1fcb9f5a8417d5b87%22	https://uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/628cb4991d21f04dd130f4ca_thumbnail.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/628cb4991d21f04dd130f4ca_thumbnail.jpg	(from https://www.okalpha.co/)
22:22:18	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2008%20Apr%202023%2013:22:18%20GMT	https://www.okalpha.co/work/innovocean	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/work/innovocean	(from https://www.okalpha.co/)
22:22:20	24250/24250	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2013:22:19%20GMT	https://www.okalpha.co/work/makereign	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/work/makereign.html	(from https://www.okalpha.co/)
22:22:20	301401/301401	---M--	200	added ('OK')	image/jpeg	etag:%22779a4288c224cb19e8f5c19b925a542b%22	https://uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/628c8f9b9219f46af4a6219c_thumbnail.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/628c8f9b9219f46af4a6219c_thumbnail.jpg	(from https://www.okalpha.co/)
22:22:21	149650/149650	---M--	200	added ('OK')	image/jpeg	etag:%22f309aec3e770e46d10895e43d52e4999%22	https://uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/5c0f5ce85a6ddc6a24c3f5ae_MakeReign_Thumbnail.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/5c0f5ce85a6ddc6a24c3f5ae_MakeReign_Thumbnail.jpg	(from https://www.okalpha.co/)
22:22:22	22740/22740	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2013:22:21%20GMT	https://www.okalpha.co/work/sanlam-indie-explainers	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/work/sanlam-indie-explainers.html	(from https://www.okalpha.co/)
22:22:23	142009/142009	---M--	200	added ('OK')	image/jpeg	etag:%22e31489d6368d26eb3fed7f03f7b9da2a%22	https://uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/600a7987d0e084ff8b0c8ea9_Thumbnail.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/600a7987d0e084ff8b0c8ea9_Thumbnail.jpg	(from https://www.okalpha.co/)
22:22:24	22858/22858	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2013:22:24%20GMT	https://www.okalpha.co/work/wolf-whale	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/www.okalpha.co/work/wolf-whale.html	(from https://www.okalpha.co/)
22:22:25	212348/212348	---M--	200	added ('OK')	image/jpeg	etag:%2288d75777ac180980e2f6e75d00f43a4e%22	https://uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/601158e5dd1be3467df7897a_wolfandwhale-thumbnail.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b140991da3c5ca736fe11aa/601158e5dd1be3467df7897a_wolfandwhale-thumbnail.jpg	(from https://www.okalpha.co/)
22:22:25	265062/265062	---M--	200	added ('OK')	image/jpeg	etag:%2275229ec8e896370d2110768a60c2f3a5%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eeafd28a7b339e85802_Grant.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eeafd28a7b339e85802_Grant.jpg	(from https://www.okalpha.co/)
22:22:26	243152/243152	---M--	200	added ('OK')	image/jpeg	etag:%221178837f01764bd50a4133d3b8b63ef7%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eea753a406a00104d56_Grant_Objects.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eea753a406a00104d56_Grant_Objects.jpg	(from https://www.okalpha.co/)
22:22:27	122279/122279	---M--	200	added ('OK')	image/jpeg	etag:%2296ab357427bbe7b00879c4c17d346ac3%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bc90eef8794d4778d58_Lawrence.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bc90eef8794d4778d58_Lawrence.jpg	(from https://www.okalpha.co/)
22:22:27	124154/124154	---M--	200	added ('OK')	image/jpeg	etag:%22b651e340f260e69c8ad359b3fd6a53ca%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bc94bbe08711b63ebdb_Lawrence_Objects.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bc94bbe08711b63ebdb_Lawrence_Objects.jpg	(from https://www.okalpha.co/)
22:22:29	122665/122665	---M--	200	added ('OK')	image/jpeg	etag:%22224717893e2b99b405bb18dd5524c3ed%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1ee9753a4011e0104d55_Titan.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1ee9753a4011e0104d55_Titan.jpg	(from https://www.okalpha.co/)
22:22:29	139957/139957	---M--	200	added ('OK')	image/jpeg	etag:%22be69a8058fc54058d80ced161caf9a6a%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1ee94fdbba581bb8e232_Titan_Objects.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1ee94fdbba581bb8e232_Titan_Objects.jpg	(from https://www.okalpha.co/)
22:22:30	230625/230625	---M--	200	added ('OK')	image/jpeg	etag:%221bdc593e4944e4f5c692da9c47ddf1c6%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eea4fdbba4541b8e233_Jade.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eea4fdbba4541b8e233_Jade.jpg	(from https://www.okalpha.co/)
22:22:30	207463/207463	---M--	200	added ('OK')	image/jpeg	etag:%227d0a5e2aad4160d3f94e2ee2d1c2f696%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eeafd28a77e24e85801_Jade_Objects.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eeafd28a77e24e85801_Jade_Objects.jpg	(from https://www.okalpha.co/)
22:22:31	172863/172863	---M--	200	added ('OK')	image/jpeg	etag:%2279592af86f3c70f66aba029d5744f51e%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eea11410537aefdeb13_Dillan.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/5c1e1eea11410537aefdeb13_Dillan.jpg	(from https://www.okalpha.co/)
22:22:32	172098/172098	---M--	200	added ('OK')	image/jpeg	etag:%22acc69cd7008a4e9b0ae579136516428f%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bca59938f21e06d7c93_Mishka.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bca59938f21e06d7c93_Mishka.jpg	(from https://www.okalpha.co/)
22:22:32	171807/171807	---M--	200	added ('OK')	image/jpeg	etag:%22611e61c07f8244b1e97f2f6939b729b1%22	https://uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bcad1a329288064f414_Mishka_Objects.jpg	C:/Users/Tiphaine/Desktop/TestHTTracker/TestHTTrack/uploads-ssl.webflow.com/5b13df51d0d5fe8211f203da/63404bcad1a329288064f414_Mishka_Objects.jpg	(from https://www.okalpha.co/)
